model,year,transmission,mileage,fuelType,tax(£),mpg,engineSize,price
 Tucson,2018,Manual,11290,Petrol,145,44.8,1.6,14751
 I10,2014,Semi-Auto,38193,Petrol,160,45.6,1.2,6800
 Ioniq,2019,Automatic,5500,Hybrid,135,78.5,1.6,22899
 Ioniq,2019,Automatic,5500,Hybrid,135,78.5,1.6,23991
 Ioniq,2017,Automatic,13587,Hybrid,0,78.5,1.6,15490
 I10,2020,Manual,3000,Petrol,150,53.3,1,12995
 Ioniq,2017,Automatic,11247,Hybrid,135,78.5,1.6,17299
 Tucson,2019,Semi-Auto,10,Petrol,145,36.2,1.6,23991
 Tucson,2019,Semi-Auto,4500,Petrol,145,36.2,1.6,21795
 Tucson,2019,Semi-Auto,4500,Petrol,145,36.2,1.6,21795
 Santa Fe,2019,Semi-Auto,17340,Diesel,145,39.2,2.2,31735
 Ioniq,2019,Automatic,4000,Hybrid,135,78.5,1.6,23991
 Ioniq,2019,Automatic,10,Hybrid,135,78.5,1.6,23991
 Ioniq,2019,Automatic,5500,Hybrid,135,78.5,1.6,23991
 Ioniq,2019,Automatic,5500,Hybrid,135,78.5,1.6,22891
 Ioniq,2019,Automatic,5500,Hybrid,135,78.5,1.6,22491
 Ioniq,2019,Automatic,5500,Hybrid,135,78.5,1.6,23991
 Ioniq,2019,Automatic,5500,Hybrid,135,78.5,1.6,22491
 I10,2019,Manual,3500,Petrol,145,49.6,1,9491
 I10,2019,Manual,3500,Petrol,145,49.6,1,9491
 I10,2019,Manual,250,Petrol,145,49.6,1,9491
 I10,2019,Manual,10,Petrol,145,49.6,1,9491
 I10,2019,Manual,3500,Petrol,145,49.6,1,9491
 I10,2019,Manual,3000,Petrol,145,49.6,1,9491
 Tucson,2019,Semi-Auto,4500,Hybrid,145,50.4,1.6,25750
 I10,2019,Manual,3200,Petrol,145,49.6,1,9491
 Tucson,2019,Semi-Auto,2400,Petrol,145,36.2,1.6,21795
 Tucson,2019,Semi-Auto,10,Petrol,145,36.2,1.6,23491
 Santa Fe,2019,Semi-Auto,6402,Diesel,145,42.8,2.2,30491
 Santa Fe,2019,Semi-Auto,5883,Diesel,145,39.2,2.2,33791
 Tucson,2019,Manual,8574,Diesel,145,45.6,1.6,22491
 Ioniq,2019,Automatic,5500,Hybrid,135,78.5,1.6,23991
 Ioniq,2019,Automatic,5500,Hybrid,135,78.5,1.6,23991
 Ioniq,2019,Automatic,5500,Hybrid,135,78.5,1.6,23991
 Ioniq,2019,Automatic,5500,Hybrid,135,78.5,1.6,23991
 Ioniq,2019,Automatic,5500,Hybrid,135,78.5,1.6,23991
 Ioniq,2019,Automatic,5500,Hybrid,135,78.5,1.6,23991
 I10,2019,Manual,10,Petrol,145,49.6,1,9491
 Tucson,2018,Manual,9206,Petrol,145,44.8,1.6,14991
 I10,2017,Manual,13719,Petrol,30,57.7,1.2,7390
 Tucson,2017,Manual,32127,Diesel,30,61.7,1.7,12790
 I30,2018,Manual,12453,Petrol,150,45.6,1,12371
 Tucson,2019,Semi-Auto,2800,Petrol,145,36.2,1.6,22995
 I10,2019,Manual,4000,Petrol,145,49.6,1,9491
 I10,2019,Manual,4000,Petrol,145,49.6,1,9491
 I10,2019,Manual,4000,Petrol,145,49.6,1,9491
 I30,2018,Manual,6526,Petrol,150,45.6,1,12991
 I800,2019,Manual,17124,Diesel,150,31.7,2.5,18430
 I10,2017,Manual,3149,Petrol,150,60.1,1,7570
 Kona,2019,Semi-Auto,2135,Petrol,150,34,1.6,22020
 I10,2013,Manual,16197,Petrol,20,61.4,1.2,4740
 I20,2017,Manual,6346,Petrol,150,58.9,1.2,9121
 I20,2017,Manual,4528,Petrol,150,58.9,1.2,9210
 I10,2017,Manual,10000,Petrol,150,57.7,1.2,9180
 I10,2019,Manual,4000,Petrol,145,49.6,1,9491
 I10,2019,Manual,4000,Petrol,145,49.6,1,8995
 I10,2019,Manual,3000,Petrol,145,49.6,1,9491
 I10,2019,Manual,1500,Petrol,145,49.6,1,9491
 I40,2019,Manual,10,Diesel,145,52.3,1.6,16500
 I40,2019,Manual,10,Diesel,145,52.3,1.6,16500
 I40,2019,Manual,30,Diesel,145,54.3,1.6,16000
 Kona,2018,Manual,13410,Petrol,145,52.3,1,14499
 I10,2014,Manual,19371,Petrol,30,57.6,1.2,6499
 I20,2014,Manual,16059,Petrol,30,57.6,1.2,6199
 IX20,2017,Automatic,31100,Petrol,160,43.5,1.6,8495
 I30,2016,Manual,30279,Petrol,145,48.7,1.4,8660
 IX20,2015,Manual,27328,Petrol,125,50.4,1.4,8032
 Santa Fe,2019,Automatic,7921,Diesel,145,42.8,2.2,28990
 I10,2017,Manual,20391,Petrol,20,60.1,1,7190
 Tucson,2019,Semi-Auto,9854,Petrol,145,36.2,1.6,18790
 I30,2018,Manual,15424,Petrol,145,52.3,1.4,11640
 I10,2016,Semi-Auto,6566,Petrol,145,47.9,1.2,9190
 Santa Fe,2019,Semi-Auto,8000,Diesel,145,39.2,2.2,35456
 Tucson,2019,Semi-Auto,2984,Hybrid,145,50.4,1.6,26980
 Tucson,2018,Automatic,7022,Diesel,145,43.5,2,21590
 Tucson,2018,Manual,6124,Petrol,145,44.8,1.6,14980
 I10,2019,Manual,7832,Petrol,145,60.1,1,8190
 Tucson,2019,Manual,12806,Petrol,145,34.9,1.6,17980
 Santa Fe,2019,Semi-Auto,2390,Diesel,145,39.2,2.2,32980
 Kona,2019,Semi-Auto,12254,Petrol,145,34,1.6,19980
 Tucson,2018,Manual,20566,Petrol,145,34.9,1.6,19980
 Santa Fe,2015,Semi-Auto,37854,Diesel,265,42.2,2.2,17290
 Kona,2019,Semi-Auto,50,Petrol,145,37.7,1.6,23000
 Ioniq,2018,Automatic,38469,Hybrid,135,78.5,1.6,13709
 Ioniq,2018,Automatic,35934,Hybrid,135,78.5,1.6,15089
 Ioniq,2018,Automatic,37125,Hybrid,135,78.5,1.6,13789
 I800,2018,Manual,33610,Diesel,145,31.7,2.5,16459
 IX20,2017,Automatic,14847,Petrol,145,43.5,1.6,10654
 Ioniq,2018,Automatic,10873,Hybrid,135,78.5,1.6,17234
 Ioniq,2019,Automatic,9468,Hybrid,135,78.5,1.6,20000
 I10,2018,Manual,10010,Petrol,145,60.1,1,8345
 I10,2018,Manual,5006,Petrol,145,60.1,1,8000
 Kona,2019,Manual,11478,Petrol,145,44.1,1,13920
 Ioniq,2019,Automatic,14687,Hybrid,135,78.5,1.6,18695
 Tucson,2015,Manual,14500,Diesel,30,61.7,1.7,12691
 Tucson,2019,Semi-Auto,9153,Petrol,145,36.2,1.6,18867
 Tucson,2019,Manual,11036,Petrol,145,35.3,1.6,15278
 Ioniq,2018,Automatic,35007,Hybrid,135,78.5,1.6,13969
 Ioniq,2018,Automatic,37133,Hybrid,135,78.5,1.6,14959
 I10,2018,Manual,30868,Petrol,145,57.7,1.2,7659
 I10,2018,Manual,30549,Petrol,145,57.7,1.2,7259
 Tucson,2018,Manual,11398,Petrol,145,35.3,1.6,14678
 Ioniq,2019,Automatic,6621,Hybrid,135,78.5,1.6,18314
 Tucson,2019,Manual,100,Petrol,145,34.9,1.6,21390
 Tucson,2019,Manual,10,Petrol,145,35.3,1.6,16390
 Tucson,2019,Semi-Auto,10,Petrol,145,36.2,1.6,23991
 Tucson,2019,Semi-Auto,10,Petrol,145,36.2,1.6,23991
 Tucson,2019,Semi-Auto,10,Petrol,145,36.2,1.6,23991
 Tucson,2019,Manual,100,Diesel,145,48.7,1.6,22895
 Tucson,2019,Semi-Auto,3400,Petrol,145,36.2,1.6,23991
 Tucson,2019,Semi-Auto,10,Petrol,145,36.2,1.6,23991
 I10,2016,Semi-Auto,20603,Petrol,150,47.9,1.2,7699
 Tucson,2016,Automatic,33925,Diesel,240,43.5,2,13499
 I10,2017,Manual,36797,Petrol,20,60.1,1,6999
 I20,2020,Manual,1420,Petrol,145,46.3,1.2,12299
 I30,2019,Manual,1232,Petrol,145,44.8,1,14298
 Santa Fe,2020,Automatic,2885,Diesel,145,39.2,2.2,36999
 I10,2016,Semi-Auto,21597,Petrol,150,47.9,1.2,7499
 IX20,2015,Manual,38000,Petrol,125,50.4,1.4,7699
 IX35,2013,Manual,54321,Diesel,150,53.3,1.7,6999
 I20,2017,Manual,32562,Petrol,145,55.4,1.2,7599
 I10,2017,Manual,30233,Petrol,145,60.1,1,7259
 I10,2017,Manual,32278,Petrol,145,60.1,1,7259
 I20,2016,Manual,47282,Petrol,30,55.4,1.2,6899
 Kona,2018,Manual,32031,Petrol,145,52.3,1,12299
 I20,2016,Manual,11869,Petrol,30,56.5,1.2,8000
 I20,2017,Manual,32113,Petrol,145,55.4,1.2,7599
 I20,2018,Manual,15958,Petrol,145,58.9,1.2,9499
 Tucson,2016,Manual,17947,Diesel,30,61.7,1.7,12299
 I10,2018,Manual,10936,Petrol,145,60.1,1,7495
 Kona,2019,Manual,16555,Petrol,145,44.1,1,15495
 I20,2019,Manual,12603,Petrol,145,46.3,1.2,10495
 Kona,2019,Manual,17715,Petrol,145,44.1,1,14995
 Tucson,2020,Semi-Auto,7417,Petrol,145,36.2,1.6,25000
 I30,2017,Manual,20629,Diesel,150,74.3,1.6,10780
 I20,2018,Manual,17940,Petrol,145,46.3,1.2,9299
 Tucson,2016,Semi-Auto,35405,Diesel,125,57.6,1.7,16799
 I30,2019,Manual,10065,Diesel,145,60.1,1.6,13000
 I10,2017,Manual,30676,Petrol,145,60.1,1,6699
 I20,2018,Manual,32743,Petrol,145,58.9,1.2,7899
 Kona,2018,Manual,34989,Petrol,145,52.3,1,12599
 Tucson,2017,Manual,48776,Petrol,145,44.8,1.6,12999
 I20,2016,Manual,16812,Petrol,30,58.9,1,9395
 Tucson,2016,Manual,36263,Diesel,30,61.7,1.7,12795
 Kona,2018,Manual,15493,Petrol,145,52.3,1,13995
 Tucson,2018,Semi-Auto,31548,Petrol,150,39.8,1.6,17995
 I10,2016,Manual,30566,Petrol,20,60.1,1,6295
 Tucson,2016,Manual,27397,Petrol,165,44.8,1.6,12067
 I10,2018,Manual,32573,Petrol,150,57.7,1.2,7159
 I10,2019,Semi-Auto,5431,Petrol,150,47.9,1.2,10495
 I10,2020,Manual,2458,Petrol,145,53.3,1,14000
 Tucson,2016,Manual,17574,Diesel,30,61.7,1.7,12499
 I40,2015,Manual,50500,Diesel,20,67.3,1.7,8499
 I30,2018,Manual,21366,Diesel,150,74.3,1.6,12299
 I20,2016,Manual,16750,Petrol,30,55.4,1.2,8499
 Tucson,2017,Semi-Auto,50456,Diesel,125,57.6,1.7,13499
 Tucson,2018,Automatic,17952,Petrol,145,36.2,1.6,17695
 I10,2019,Semi-Auto,4638,Petrol,150,47.9,1.2,10495
 I10,2016,Manual,8340,Petrol,20,60.1,1,6799
 I10,2016,Manual,31000,Petrol,20,60.1,1,5995
 Tucson,2016,Automatic,20000,Diesel,200,47.1,2,13995
 I20,2017,Manual,5000,Petrol,145,65.7,1,8995
 IX20,2015,Manual,29000,Petrol,125,50.4,1.4,6795
 Tucson,2016,Semi-Auto,29143,Diesel,125,57.6,1.7,14499
 Tucson,2017,Manual,17955,Petrol,145,38.7,1.6,16499
 I20,2017,Manual,8474,Petrol,145,58.9,1.2,9499
 I30,2019,Manual,1853,Petrol,145,34,2,23995
 I10,2020,Manual,545,Petrol,145,51.4,1.2,13595
 I30,2020,Manual,2936,Petrol,145,45.6,1,15495
 I20,2018,Automatic,24448,Petrol,150,45.6,1.4,12354
 I10,2015,Manual,42910,Petrol,20,60.1,1,4495
 I20,2018,Automatic,31676,Petrol,150,45.6,1.4,9995
 Tucson,2019,Manual,13299,Petrol,145,34.9,1.6,15494
 Kona,2019,Manual,11345,Petrol,145,44.1,1,15795
 I20,2019,Manual,4264,Petrol,145,47.9,1,11499
 I10,2015,Manual,37254,Petrol,30,57.6,1.2,6499
 Ioniq,2017,Automatic,12790,Hybrid,0,78.5,1.6,13299
 I20,2019,Manual,310,Petrol,145,46.3,1.2,12490
 I10,2017,Manual,15772,Petrol,30,57.6,1.2,7590
 I10,2017,Manual,15088,Petrol,145,60.1,1,7299
 I20,2017,Manual,6299,Petrol,145,58.9,1.2,9299
 I30,2017,Manual,30067,Petrol,145,44.8,1.6,11399
 Kona,2018,Manual,5880,Petrol,145,52.3,1,14999
 Kona,2018,Manual,13410,Petrol,145,52.3,1,14499
 I30,2019,Manual,1775,Petrol,145,42.2,1.4,16999
 I10,2018,Manual,11606,Petrol,145,57.7,1.2,9699
 I10,2019,Manual,9487,Petrol,145,60.1,1,8495
 I10,2018,Semi-Auto,9963,Petrol,150,47.9,1.2,9499
 Tucson,2019,Semi-Auto,12141,Petrol,150,36.2,1.6,18995
 Kona,2019,Manual,6250,Petrol,145,44.1,1,16995
 Tucson,2019,Manual,4661,Petrol,145,34.9,1.6,20995
 Tucson,2018,Manual,7894,Petrol,145,34.9,1.6,15499
 I10,2018,Manual,7804,Petrol,145,57.7,1.2,9633
 Tucson,2016,Manual,21262,Diesel,30,61.7,1.7,13999
 Tucson,2017,Semi-Auto,34870,Diesel,125,57.6,1.7,14430
 I10,2018,Manual,31375,Petrol,150,60.1,1,7990
 I30,2018,Manual,12955,Petrol,145,52.3,1.4,11780
 Ioniq,2018,Automatic,13826,Hybrid,135,78.5,1.6,18890
 Tucson,2019,Semi-Auto,80,Petrol,145,36.2,1.6,23980
 Tucson,2019,Manual,7064,Petrol,145,34.9,1.6,18390
 Tucson,2017,Manual,17936,Diesel,30,61.7,1.7,13290
 Kona,2020,Manual,984,Petrol,145,44.1,1,19290
 IX20,2014,Manual,41960,Petrol,125,50.4,1.4,5999
 I10,2017,Manual,15422,Petrol,20,60.1,1,7299
 Tucson,2018,Manual,4203,Petrol,145,38.7,1.6,16999
 I20,2018,Manual,12271,Petrol,145,58.9,1.2,9999
 I20,2014,Manual,16059,Petrol,30,57.6,1.2,6199
 I10,2014,Manual,30553,Petrol,20,60.1,1,6399
 I10,2015,Manual,13076,Petrol,30,57.6,1.2,7699
 I10,2017,Manual,10392,Petrol,145,57.7,1.2,8855
 Tucson,2018,Manual,14653,Petrol,145,34.9,1.6,15314
 I20,2019,Manual,2439,Petrol,145,46.3,1,14990
 I10,2019,Semi-Auto,3531,Petrol,145,47.9,1.2,11990
 Tucson,2019,Manual,5004,Petrol,145,34.9,1.6,16990
 IX20,2017,Manual,12836,Petrol,145,50.4,1.4,9490
 I20,2017,Manual,16012,Petrol,30,55.4,1.2,9990
 I20,2015,Manual,27823,Petrol,125,51.4,1.4,8290
 I20,2020,Manual,2500,Petrol,145,46.3,1.2,12990
 Tucson,2020,Semi-Auto,4250,Petrol,145,36.2,1.6,22990
 I10,2020,Manual,2000,Petrol,145,53.3,1,12990
 I10,2017,Manual,31189,Petrol,145,57.7,1.2,7622
 Kona,2019,Manual,11488,Petrol,145,44.1,1,15539
 I30,2019,Manual,4000,Petrol,145,45.6,1,13990
 Santa Fe,2019,Automatic,13100,Diesel,145,39.8,2.2,29490
 Tucson,2016,Manual,16422,Diesel,30,61.7,1.7,13888
 I20,2019,Automatic,2251,Petrol,150,49.6,1,13557
 I20,2018,Automatic,10751,Petrol,150,49.6,1,12492
 Tucson,2019,Semi-Auto,18731,Petrol,145,36.2,1.6,18588
 I10,2017,Semi-Auto,14346,Petrol,150,47.9,1.2,10490
 I30,2017,Semi-Auto,29820,Petrol,150,51.4,1.4,11238
 I30,2018,Manual,22503,Petrol,150,52.3,1.4,11365
 I10,2018,Semi-Auto,7487,Petrol,145,47.9,1.2,12562
 IX20,2017,Manual,12803,Petrol,125,50.4,1.4,9781
 IX20,2016,Manual,16039,Diesel,30,64.2,1.6,9338
 I30,2018,Manual,11748,Petrol,145,52.3,1.4,12892
 I10,2017,Manual,29488,Petrol,145,60.1,1,7603
 IX20,2017,Manual,4817,Petrol,125,50.4,1.4,10247
 Santa Fe,2013,Semi-Auto,25976,Diesel,260,41.5,2.2,15739
 I10,2014,Manual,23346,Petrol,30,57.6,1.2,6441
 Tucson,2018,Semi-Auto,13133,Petrol,145,36.2,1.6,17490
 Ioniq,2018,Semi-Auto,12050,Hybrid,135,78.5,1.6,17990
 I10,2018,Semi-Auto,8056,Petrol,145,47.9,1.2,12499
 I10,2018,Manual,9843,Petrol,145,60.1,1,8250
 Kona,2019,Semi-Auto,1527,Petrol,150,34,1.6,22990
 IX20,2015,Automatic,21900,Petrol,165,43.5,1.6,9990
 I20,2017,Manual,24042,Petrol,30,55.4,1.2,9990
 I20,2015,Automatic,18784,Petrol,165,42.2,1.4,11290
 I20,2019,Manual,3084,Petrol,150,47.9,1,11680
 Tucson,2017,Semi-Auto,27080,Diesel,125,57.6,1.7,14924
 Tucson,2017,Manual,25972,Diesel,30,61.7,1.7,13740
 Tucson,2017,Manual,25948,Petrol,160,44.8,1.6,12355
 Tucson,2018,Manual,15759,Petrol,145,44.8,1.6,14690
 Tucson,2019,Manual,2684,Petrol,145,34.9,1.6,17096
 Tucson,2017,Manual,16190,Petrol,160,44.8,1.6,13539
 Tucson,2016,Manual,21159,Diesel,30,61.7,1.7,12990
 Tucson,2017,Manual,12380,Petrol,150,44.8,1.6,13490
 Tucson,2018,Manual,17267,Petrol,150,34.9,1.6,15229
 I10,2018,Semi-Auto,17356,Petrol,150,47.9,1.2,9297
 Tucson,2017,Semi-Auto,27911,Diesel,125,57.6,1.7,16457
 Santa Fe,2016,Semi-Auto,26317,Diesel,240,42.8,2.2,18797
 Tucson,2017,Semi-Auto,21700,Diesel,150,57.6,1.7,15299
 I800,2019,Manual,4266,Diesel,145,31.7,2.5,18985
 Tucson,2018,Semi-Auto,5728,Petrol,145,36.2,1.6,18599
 I10,2018,Manual,15682,Petrol,145,57.7,1.2,7985
 I20,2015,Manual,25730,Diesel,20,68.9,1.4,7361
 Tucson,2019,Manual,3737,Petrol,145,34.9,1.6,17571
 Tucson,2017,Manual,13206,Petrol,160,44.8,1.6,13871
 Tucson,2017,Manual,10172,Petrol,160,44.8,1.6,13894
 Tucson,2017,Manual,25895,Diesel,30,61.7,1.7,13745
 Kona,2019,Manual,3624,Petrol,145,44.1,1,17622
 Tucson,2017,Semi-Auto,14937,Diesel,125,57.6,1.7,15728
 Ioniq,2019,Automatic,11848,Hybrid,135,78.5,1.6,16786
 Ioniq,2019,Automatic,4581,Hybrid,135,78.5,1.6,17560
 Ioniq,2018,Automatic,27318,Hybrid,135,78.5,1.6,14811
 IX20,2017,Automatic,27918,Petrol,145,43.5,1.6,9628
 Ioniq,2018,Automatic,37101,Hybrid,135,78.5,1.6,15544
 I20,2018,Automatic,30424,Petrol,145,45.6,1.4,10362
 Tucson,2017,Manual,25198,Diesel,150,61.7,1.7,13790
 I20,2018,Manual,8701,Petrol,150,47.9,1,10990
 I10,2018,Manual,10819,Petrol,150,60.1,1,7690
 Tucson,2017,Manual,30085,Diesel,150,61.4,1.7,14590
 I30,2016,Semi-Auto,27000,Diesel,20,72.4,1.6,9250
 Tucson,2017,Manual,18465,Diesel,30,61.7,1.7,13666
 Tucson,2017,Manual,5877,Diesel,30,61.7,1.7,13771
 Tucson,2018,Manual,29000,Petrol,145,34.9,1.6,13752
 Tucson,2016,Manual,27283,Diesel,30,61.7,1.7,13182
 Tucson,2017,Semi-Auto,8526,Diesel,145,57.6,1.7,15258
 Tucson,2017,Semi-Auto,11353,Diesel,145,57.6,1.7,15127
 I20,2018,Manual,21199,Petrol,145,58.9,1.2,8463
 Tucson,2019,Semi-Auto,10120,Petrol,145,36.2,1.6,18967
 I20,2019,Manual,3686,Petrol,150,46.3,1.2,11340
 I10,2019,Manual,3103,Petrol,150,60.1,1,8590
 Tucson,2018,Manual,13421,Diesel,150,48.7,1.6,17390
 Ioniq,2018,Automatic,11333,Hybrid,135,78.5,1.6,17700
 Tucson,2017,Manual,23855,Diesel,30,61.7,1.7,13100
 I10,2018,Semi-Auto,667,Petrol,145,47.9,1.2,10100
 Tucson,2017,Manual,49691,Diesel,30,61.7,1.7,12300
 I20,2016,Manual,34000,Petrol,30,55.4,1.2,7490
 IX35,2014,Manual,70352,Diesel,150,53.3,1.7,7599
 I10,2017,Manual,22305,Petrol,150,60.1,1,6990
 Tucson,2019,Manual,15623,Petrol,150,35.3,1.6,15692
 Tucson,2017,Automatic,21477,Diesel,145,47.1,2,18799
 I800,2016,Automatic,55088,Diesel,330,33.6,2.5,12000
 I20,2017,Manual,18600,Petrol,145,58.9,1.2,8591
 Kona,2018,Semi-Auto,7769,Petrol,145,42.2,1.6,18995
 Tucson,2019,Manual,4292,Petrol,145,34.9,1.6,16922
 I20,2019,Automatic,835,Petrol,145,49.6,1,15702
 Tucson,2019,Semi-Auto,2837,Petrol,145,36.2,1.6,19642
 Tucson,2016,Manual,87146,Petrol,160,44.8,1.6,8988
 Tucson,2017,Semi-Auto,19651,Diesel,125,57.6,1.7,15236
 Tucson,2018,Manual,21505,Diesel,145,61.7,1.7,14853
 Kona,2017,Manual,26301,Petrol,145,52.3,1,12823
 Santa Fe,2019,Semi-Auto,7130,Diesel,145,39.2,2.2,33992
 Tucson,2019,Manual,15299,Petrol,150,35.3,1.6,15692
 I20,2019,Manual,15344,Petrol,150,46.3,1.2,9962
 I10,2015,Manual,25731,Petrol,20,60.1,1,5690
 Tucson,2018,Manual,10117,Petrol,150,34.9,1.6,15990
 Ioniq,2017,Automatic,20257,Hybrid,140,78.5,1.6,16491
 I30,2018,Manual,3789,Petrol,150,45.6,1,12891
 I10,2017,Manual,26921,Petrol,145,60.1,1,5992
 Tucson,2017,Manual,36000,Diesel,150,61.7,1.7,12990
 I10,2016,Manual,6539,Petrol,20,60.1,1,6990
 Ioniq,2017,Automatic,10329,Hybrid,135,78.5,1.6,17149
 Tucson,2020,Semi-Auto,1475,Petrol,145,36.2,1.6,24999
 I10,2017,Manual,22012,Petrol,20,60.1,1,6991
 IX20,2016,Manual,14600,Petrol,125,50.4,1.4,9191
 Ioniq,2020,Automatic,8000,Hybrid,140,62.8,1.6,20999
 Santa Fe,2018,Semi-Auto,10958,Diesel,145,39.2,2.2,30699
 Tucson,2017,Semi-Auto,23986,Diesel,125,57.6,1.7,17999
 Ioniq,2019,Automatic,3827,Hybrid,135,78.5,1.6,16699
 Tucson,2017,Semi-Auto,30345,Diesel,125,57.6,1.7,17399
 Santa Fe,2019,Semi-Auto,6697,Diesel,145,39.2,2.2,33999
 I30,2019,Manual,16673,Diesel,145,60.1,1.6,14699
 I10,2019,Manual,8483,Petrol,145,60.1,1,8649
 I20,2019,Manual,14051,Petrol,145,46.3,1.2,9699
 Kona,2019,Manual,11088,Petrol,150,44.1,1,15292
 Tucson,2019,Manual,13725,Petrol,150,35.3,1.6,15792
 I30,2018,Semi-Auto,30709,Petrol,150,51.4,1.4,12190
 I30,2018,Semi-Auto,28851,Petrol,150,51.4,1.4,12790
 I10,2017,Semi-Auto,14097,Petrol,150,47.9,1.2,10591
 Santa Fe,2015,Semi-Auto,11673,Diesel,265,41.5,2.2,18992
 I10,2015,Manual,11166,Petrol,30,57.6,1.2,6090
 I20,2016,Manual,29981,Petrol,30,58.9,1.2,7900
 Tucson,2018,Manual,20455,Petrol,150,44.8,1.6,14499
 I10,2017,Manual,30946,Petrol,150,57.7,1.2,6790
 Tucson,2016,Manual,18504,Diesel,30,61.7,1.7,13500
 Tucson,2018,Manual,7669,Petrol,150,35.3,1.6,15300
 IX20,2016,Manual,18146,Petrol,125,50.4,1.4,7695
 IX20,2017,Automatic,19500,Petrol,160,43.5,1.6,9995
 I10,2017,Manual,43638,Petrol,150,57.7,1.2,6695
 Kona,2018,Manual,5104,Petrol,145,44.1,1,15295
 Santa Fe,2019,Automatic,9970,Diesel,145,39.2,2.2,31269
 Kona,2019,Manual,8155,Petrol,145,44.1,1,13799
 Kona,2019,Manual,2779,Petrol,145,44.1,1,14195
 Santa Fe,2019,Semi-Auto,2847,Diesel,145,39.2,2.2,33999
 IX20,2017,Manual,22880,Petrol,145,50.4,1.4,8899
 Santa Fe,2019,Semi-Auto,3735,Diesel,145,39.2,2.2,33999
 Tucson,2017,Manual,15506,Petrol,145,38.7,1.6,16499
 Kona,2019,Manual,7925,Petrol,145,44.1,1,13799
 I10,2019,Manual,10000,Petrol,145,57.6,1.2,9995
 IX35,2014,Manual,94870,Diesel,145,53.3,1.7,6890
 I30,2014,Automatic,43057,Diesel,160,51.4,1.6,7420
 I30,2014,Manual,46845,Diesel,0,74.3,1.6,6925
 I10,2018,Manual,7374,Petrol,145,57.7,1.2,8795
 Tucson,2017,Manual,35791,Diesel,145,54.3,2,14995
 Tucson,2018,Semi-Auto,17952,Petrol,150,36.2,1.6,17695
 I10,2020,Manual,822,Petrol,145,53.3,1,12795
 Kona,2020,Automatic,2064,Hybrid,135,52.3,1.6,22495
 Ioniq,2020,Automatic,1669,Hybrid,135,62.8,1.6,20995
 Santa Fe,2019,Semi-Auto,2880,Diesel,145,39.8,2.2,32495
 Tucson,2019,Semi-Auto,17470,Petrol,145,36.2,1.6,18195
 Tucson,2019,Semi-Auto,16923,Petrol,145,36.2,1.6,18245
 Kona,2019,Manual,15507,Petrol,150,44.1,1,13995
 I20,2018,Automatic,30239,Petrol,150,45.6,1.4,9995
 Kona,2019,Manual,13192,Petrol,150,44.1,1,13995
 I20,2017,Automatic,29592,Petrol,150,45.6,1.4,9995
 I10,2017,Manual,8438,Petrol,150,60.1,1,7495
 Tucson,2017,Semi-Auto,19942,Diesel,125,57.6,1.7,15295
 Tucson,2019,Manual,5812,Petrol,150,34.9,1.6,17995
 Tucson,2016,Manual,29293,Diesel,30,61.7,1.7,12495
 Santa Fe,2017,Semi-Auto,28847,Diesel,240,42.8,2.2,21499
 I20,2019,Manual,7015,Petrol,150,46.3,1.2,10699
 Tucson,2018,Manual,8557,Petrol,145,44.8,1.6,15190
 Tucson,2017,Semi-Auto,7497,Diesel,145,57.6,1.7,15790
 I800,2016,Automatic,51446,Diesel,325,33.6,2.5,14300
 I40,2016,Semi-Auto,59335,Diesel,125,56.5,1.7,9500
 I10,2019,Manual,8607,Petrol,145,60.1,1,8645
 Tucson,2019,Semi-Auto,12328,Petrol,145,36.2,1.6,18595
 Tucson,2019,Semi-Auto,15487,Petrol,145,36.2,1.6,18395
 Tucson,2019,Manual,10736,Petrol,145,34.9,1.6,16495
 I10,2018,Semi-Auto,32449,Petrol,145,47.9,1.2,9795
 Tucson,2019,Manual,6549,Petrol,145,34.9,1.6,20995
 I20,2018,Manual,9888,Petrol,145,55.4,1.2,8645
 I10,2017,Manual,17677,Petrol,150,57.7,1.2,7499
 I20,2019,Manual,10876,Petrol,150,46.3,1.2,11149
 Tucson,2019,Semi-Auto,4899,Petrol,145,35.8,1.6,25499
 Tucson,2019,Semi-Auto,20430,Petrol,150,35.8,1.6,22499
 Tucson,2018,Manual,8225,Petrol,150,44.8,1.6,14949
 IX20,2017,Automatic,17736,Petrol,150,43.5,1.6,10399
 Tucson,2018,Semi-Auto,13554,Petrol,150,36.2,1.6,17999
 Tucson,2019,Manual,3774,Petrol,150,34.9,1.6,17449
 I10,2018,Manual,3796,Petrol,150,57.6,1.2,10399
 Kona,2019,Manual,15575,Petrol,145,44.1,1,13591
 Ioniq,2019,Automatic,7603,Hybrid,135,78.5,1.6,19538
 Santa Fe,2016,Manual,10200,Diesel,200,46.3,2.2,17390
 I10,2018,Manual,7057,Petrol,145,57.7,1.2,8591
 Tucson,2018,Manual,11580,Petrol,145,44.8,1.6,12790
 IX20,2017,Manual,22880,Petrol,145,50.4,1.4,9499
 I20,2019,Manual,3609,Petrol,145,46.3,1.2,11499
 I30,2018,Manual,8676,Petrol,145,45.6,1,12549
 Tucson,2019,Semi-Auto,3500,Diesel,145,47.1,1.6,22591
 Santa Fe,2019,Semi-Auto,5117,Diesel,145,39.2,2.2,33791
